pu,x,xloc,yloc
1,1,144.764,-14.035
2,0,144.575,-13.96
3,0,144.52200000000005,-13.981
4,1,144.668,-14.086
5,1,144.525,-14.12
6,0,144.734,-14.173
7,0,144.653,-14.181
8,0,144.8,-14.177
9,0,144.892,-14.201
10,0,144.929,-14.214
11,1,144.743,-14.244000000000002
12,0,144.96,-14.227
13,0,145.002,-14.233
14,1,145.07,-14.27
15,0,145.165,-14.29
16,0,144.687,-14.295
17,0,144.795,-14.309
18,0,145.237,-14.314
19,0,144.74,-14.318
20,0,144.95600000000005,-14.328
21,0,144.859,-14.32
22,1,144.708,-14.336
23,0,145.27700000000004,-14.343
24,0,144.651,-14.343
25,0,145.018,-14.364
26,0,144.75799999999995,-14.36
27,0,145.346,-14.38
28,0,144.963,-14.374
29,0,145.10299999999995,-14.421
30,1,145.036,-14.399
31,0,144.95,-14.414
32,0,145.32299999999995,-14.421
33,1,145.221,-14.454
34,0,144.891,-14.425999999999998
35,0,145.41,-14.445
36,0,144.811,-14.425
37,0,145.481,-14.453
38,0,145.04399999999995,-14.444
39,0,144.959,-14.458
40,0,145.026,-14.474
41,0,144.894,-14.463
42,0,144.643,-14.474
43,1,144.69799999999995,-14.474
44,1,144.754,-14.476
45,0,145.537,-14.498
46,0,144.96,-14.478
47,0,144.968,-14.495
48,1,144.763,-14.501
49,0,144.91299999999995,-14.502
50,0,145.159,-14.505999999999998
51,0,144.974,-14.521
52,0,145.589,-14.548
53,0,144.99,-14.54
54,0,144.856,-14.54
55,0,144.922,-14.541
56,0,144.87,-14.549
57,0,144.905,-14.554
58,0,144.85,-14.550999999999998
59,0,144.92700000000005,-14.574000000000002
60,0,145.623,-14.599
61,0,144.935,-14.614
62,0,145.64700000000005,-14.644
63,0,145.253,-14.656
64,0,145.491,-14.651
65,0,145.65,-14.664
66,1,145.69899999999996,-14.832
67,0,145.44899999999996,-14.686
68,0,145.379,-14.711
69,0,145.53799999999995,-14.704
70,0,144.994,-14.712
71,0,145.162,-14.72
72,0,145.191,-14.727
73,0,145.584,-14.728
74,0,145.083,-14.736
75,0,145.511,-14.741
76,1,145.356,-14.761
77,0,145.52700000000004,-14.777
78,1,145.347,-14.786
79,0,145.136,-14.798
80,0,145.18200000000004,-14.816
81,0,145.529,-14.866
82,1,145.273,-14.85
83,0,145.558,-14.880999999999998
84,0,145.47899999999996,-14.896
85,0,145.511,-14.914
86,0,145.486,-14.938
87,0,145.68200000000004,-14.931
88,0,145.338,-14.942
89,0,145.689,-14.949000000000002
90,0,145.702,-14.992
91,0,145.569,-15.005
92,0,145.442,-15.023
93,0,145.696,-15.035
94,0,145.722,-15.075
95,0,145.567,-15.05
96,0,145.532,-15.049
97,0,145.67,-15.095999999999998
98,0,145.635,-15.099
99,0,145.269,-15.095
100,0,145.384,-15.097
101,0,145.576,-15.140999999999998
102,0,145.424,-15.109000000000002
103,1,145.697,-15.137
104,0,145.31799999999996,-15.138
105,0,145.743,-15.205
106,0,145.496,-15.166
107,1,145.268,-15.159
108,0,145.616,-15.198
109,0,145.55700000000004,-15.207
110,0,145.72,-15.241
111,0,145.541,-15.243
112,0,145.584,-15.251
113,0,145.748,-15.28
114,0,145.576,-15.291
115,0,145.764,-15.315
116,0,145.636,-15.318
117,0,145.64700000000005,-15.33
118,1,145.753,-15.334
119,1,145.782,-15.365
120,1,145.586,-15.359000000000002
121,0,145.765,-15.389
122,0,145.431,-15.413
123,1,145.77,-15.401
124,0,145.509,-15.428
125,1,145.799,-15.434
126,0,145.614,-15.427
127,0,145.659,-15.429
128,0,145.67600000000004,-15.461
129,1,145.41899999999995,-15.473
130,0,145.803,-15.49
131,0,145.501,-15.484000000000002
132,0,145.655,-15.485
133,0,145.289,-15.484000000000002
134,0,145.618,-15.503
135,0,145.328,-15.505
136,0,145.548,-15.507
137,0,145.52700000000004,-15.553
138,0,145.779,-15.518
139,0,145.781,-15.53
140,1,145.35299999999995,-15.535
141,0,145.641,-15.535
142,0,145.79399999999995,-15.559
143,1,145.303,-15.546
144,0,145.651,-15.558
145,0,145.597,-15.559
